Date,Total System Usage,Area(This is for all Oahu,Energy Type,Energy Type Usage
1/18/2014 12:00:00,927.2,Total_System_Generation,Fossil_Fuel,560.5
1/19/2014 12:00:00,882.8,Total_System_Generation,Coal,180
1/19/2014 12:00:00,882.8,Total_System_Generation,BioFuel,0
1/19/2014 12:00:00,882.8,Total_System_Generation,WindFarm,0
1/19/2014 12:00:00,882.8,Total_System_Generation,Solar,120.6
1/19/2014 12:00:00,882.8,Total_System_Generation,Waste2Energy,36.4
1/19/2014 12:00:00,882.8,Total_System_Generation,Fossil_Fuel,545.8
1/20/2014 12:00:00,950,Total_System_Generation,Coal,180.2
1/20/2014 12:00:00,950,Total_System_Generation,BioFuel,0
1/20/2014 12:00:00,950,Total_System_Generation,WindFarm,0
1/20/2014 12:00:00,950,Total_System_Generation,Solar,157.8
1/20/2014 12:00:00,950,Total_System_Generation,Waste2Energy,35.1
1/20/2014 12:00:00,950,Total_System_Generation,Fossil_Fuel,576.9
